Order_ID,Restaurant_Name,Location,Order_Date,Order_Time,Deliver_status,Delivery_Duration,Pizza_Size,Pizza_Type,Distance,Traffic_Level,Payment_Method,Is_Peak_Hour,Is_Weekend,Order_Month,Estimated_Duration ,Delay,Delayed_status
ORD017,Papa John's,"Boston, MA",17-01-2024,18:30:00,Average,25,S,Vegan,2,Low,Wallet,1,0,January,4.8,20.2,Delayed
ORD018,Little Caesars,"Dallas, TX",18-01-2024,20:00:00,Fast,20,M,Non-Veg,3.5,Medium,Card,1,0,January,8.4,11.6,On Time
ORD019,Pizza Hut,"Los Angeles, CA",19-01-2024,19:15:00,Average,25,XL,Cheese Burst,4,High,UPI,1,0,January,9.6,15.4,On Time
ORD020,Marco's Pizza,"Chicago, IL",20-01-2024,13:30:00,Fast,20,M,Non-Veg,3,Low,Cash,0,1,January,7.2,12.8,On Time
ORD021,Domino's,"Miami, FL",21-01-2024,18:45:00,Average,25,L,Veg,4.5,Medium,Wallet,1,1,January,10.8,14.2,On Time
ORD022,Papa John's,"Dallas, TX",22-01-2024,20:00:00,Average,25,S,Vegan,2,High,Card,1,0,January,4.8,20.2,Delayed
ORD023,Little Caesars,"Houston, TX",23-01-2024,19:30:00,Fast,20,M,Non-Veg,3.5,Low,UPI,1,0,January,8.4,11.6,On Time
ORD024,Pizza Hut,"Phoenix, AZ",24-01-2024,18:15:00,Average,25,XL,Cheese Burst,4,Medium,Cash,1,0,January,9.6,15.4,On Time
ORD025,Marco's Pizza,"Atlanta, GA",25-01-2024,14:30:00,Fast,20,M,Non-Veg,3,High,Wallet,0,0,January,7.2,12.8,On Time
ORD026,Domino's,"Seattle, WA",26-01-2024,20:00:00,Average,25,L,Veg,4.5,Low,Card,1,0,January,10.8,14.2,On Time
ORD027,Papa John's,"Denver, CO",27-01-2024,19:15:00,Average,25,S,Vegan,2,Medium,UPI,1,1,January,4.8,20.2,Delayed
ORD028,Little Caesars,"Boston, MA",28-01-2024,18:30:00,Fast,20,M,Non-Veg,3.5,High,Cash,1,1,January,8.4,11.6,On Time
ORD029,Pizza Hut,"Chicago, IL",29-01-2024,20:00:00,Average,25,XL,Cheese Burst,4,Low,Wallet,1,0,January,9.6,15.4,On Time
ORD030,Marco's Pizza,"Miami, FL",30-01-2024,13:15:00,Fast,20,M,Non-Veg,3,Medium,Card,0,0,January,7.2,12.8,On Time
ORD031,Domino's,"Los Angeles, CA",01-02-2024,19:45:00,Average,25,L,Veg,4.5,High,UPI,1,0,February,10.8,14.2,On Time
ORD032,Papa John's,"Phoenix, AZ",02-02-2024,18:00:00,Average,25,S,Vegan,2,Low,Cash,1,0,February,4.8,20.2,Delayed
ORD033,Little Caesars,"Atlanta, GA",03-02-2024,20:30:00,Average,25,M,Non-Veg,3.5,Medium,Wallet,1,1,February,8.4,16.6,On Time
ORD034,Pizza Hut,"Dallas, TX",04-02-2024,14:15:00,Fast,20,XL,Cheese Burst,4,High,Card,0,1,February,9.6,10.4,On Time
ORD035,Marco's Pizza,"Seattle, WA",05-02-2024,19:00:00,Average,25,M,Non-Veg,3,Low,UPI,1,0,February,7.2,17.8,On Time
ORD036,Domino's,"Houston, TX",06-02-2024,18:45:00,Average,25,L,Veg,4.5,Medium,Card,1,0,February,10.8,14.2,On Time
ORD037,Papa John's,"Phoenix, AZ",07-02-2024,20:00:00,Average,25,M,Non-Veg,3,High,UPI,1,0,February,7.2,17.8,On Time
ORD038,Little Caesars,"Atlanta, GA",08-02-2024,19:30:00,Fast,20,S,Vegan,2.5,Low,Cash,1,0,February,6,14,On Time
ORD039,Pizza Hut,"Dallas, TX",09-02-2024,18:15:00,Average,25,XL,Cheese Burst,4,Medium,Wallet,1,0,February,9.6,15.4,On Time
ORD040,Marco's Pizza,"Seattle, WA",10-02-2024,14:30:00,Fast,20,M,Non-Veg,3.5,High,Card,0,1,February,8.4,11.6,On Time
ORD041,Domino's,"Denver, CO",11-02-2024,19:00:00,Fast,20,L,Veg,4,Low,UPI,1,1,February,9.6,10.4,On Time
ORD042,Papa John's,"Boston, MA",12-02-2024,20:15:00,Average,25,S,Vegan,2,Medium,Cash,1,0,February,4.8,20.2,Delayed
ORD043,Little Caesars,"Dallas, TX",13-02-2024,18:30:00,Fast,20,M,Non-Veg,3,High,Wallet,1,0,February,7.2,12.8,On Time
ORD044,Pizza Hut,"Los Angeles, CA",14-02-2024,19:45:00,Average,25,XL,Cheese Burst,5,Low,Card,1,0,February,12,13,On Time
ORD045,Marco's Pizza,"Chicago, IL",15-02-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Medium,UPI,0,0,February,8.4,11.6,On Time
ORD046,Domino's,"Miami, FL",16-02-2024,18:30:00,Fast,20,L,Veg,4,High,Cash,1,0,February,9.6,10.4,On Time
ORD047,Papa John's,"Dallas, TX",17-02-2024,20:00:00,Average,25,M,Non-Veg,3,Low,Wallet,1,1,February,7.2,17.8,On Time
ORD048,Little Caesars,"Houston, TX",18-02-2024,19:15:00,Fast,20,S,Vegan,2.5,Medium,Card,1,1,February,6,14,On Time
ORD049,Pizza Hut,"Phoenix, AZ",19-02-2024,20:30:00,Average,25,XL,Cheese Burst,4.5,High,UPI,1,0,February,10.8,14.2,On Time
ORD050,Marco's Pizza,"Atlanta, GA",20-02-2024,14:45:00,Fast,20,M,Non-Veg,3,Low,Cash,0,0,February,7.2,12.8,On Time
ORD051,Domino's,"Seattle, WA",21-02-2024,19:00:00,Fast,20,L,Veg,4,Medium,Wallet,1,0,February,9.6,10.4,On Time
ORD052,Papa John's,"Denver, CO",22-02-2024,20:15:00,Average,25,S,Vegan,2,High,Card,1,0,February,4.8,20.2,Delayed
ORD053,Little Caesars,"Boston, MA",23-02-2024,18:30:00,Fast,20,M,Non-Veg,3.5,Low,UPI,1,0,February,8.4,11.6,On Time
ORD054,Pizza Hut,"Chicago, IL",24-02-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,Cash,1,1,February,9.6,15.4,On Time
ORD055,Marco's Pizza,"Miami, FL",25-02-2024,13:00:00,Fast,20,M,Non-Veg,3,High,Wallet,0,1,February,7.2,12.8,On Time
ORD056,Domino's,"Los Angeles, CA",26-02-2024,18:30:00,Fast,20,L,Veg,4.5,Low,Card,1,0,February,10.8,9.2,On Time
ORD057,Papa John's,"Phoenix, AZ",27-02-2024,20:00:00,Average,25,M,Non-Veg,3,High,UPI,1,0,February,7.2,17.8,On Time
ORD058,Little Caesars,"Atlanta, GA",28-02-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,0,February,6,14,On Time
ORD059,Pizza Hut,"Dallas, TX",29-02-2024,20:30:00,Average,25,XL,Cheese Burst,4,Medium,Wallet,1,0,February,9.6,15.4,On Time
ORD060,Marco's Pizza,"Seattle, WA",01-03-2024,14:45:00,Fast,20,M,Non-Veg,3.5,High,Card,0,0,March,8.4,11.6,On Time
ORD061,Domino's,"Denver, CO",02-03-2024,19:00:00,Fast,20,L,Veg,4,Low,UPI,1,1,March,9.6,10.4,On Time
ORD062,Papa John's,"Boston, MA",03-03-2024,20:15:00,Average,25,S,Vegan,2,Medium,Cash,1,1,March,4.8,20.2,Delayed
ORD063,Little Caesars,"Dallas, TX",04-03-2024,18:30:00,Fast,20,M,Non-Veg,3,High,Wallet,1,0,March,7.2,12.8,On Time
ORD064,Pizza Hut,"Los Angeles, CA",05-03-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,Low,Card,1,0,March,10.8,14.2,On Time
ORD065,Marco's Pizza,"Chicago, IL",06-03-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Low,Card,0,0,March,8.4,11.6,On Time
ORD066,Domino's,"Miami, FL",07-03-2024,18:30:00,Fast,20,L,Veg,4,High,Card,1,0,March,9.6,10.4,On Time
ORD067,Papa John's,"Dallas, TX",08-03-2024,20:00:00,Average,25,M,Non-Veg,3.5,Medium,UPI,1,0,March,8.4,16.6,On Time
ORD068,Little Caesars,"Chicago, IL",09-03-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,1,March,6,14,On Time
ORD069,Pizza Hut,"Phoenix, AZ",10-03-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,High,Wallet,1,1,March,10.8,14.2,On Time
ORD070,Marco's Pizza,"Atlanta, GA",11-03-2024,13:00:00,Fast,20,M,Non-Veg,3,Low,Card,0,0,March,7.2,12.8,On Time
ORD071,Domino's,"Seattle, WA",12-03-2024,18:30:00,Fast,20,L,Veg,4,Medium,UPI,1,0,March,9.6,10.4,On Time
ORD072,Papa John's,"Denver, CO",13-03-2024,20:15:00,Average,25,S,Vegan,2,High,Cash,1,0,March,4.8,20.2,Delayed
ORD073,Little Caesars,"Boston, MA",14-03-2024,18:30:00,Fast,20,M,Non-Veg,3.5,Low,Wallet,1,0,March,8.4,11.6,On Time
ORD074,Pizza Hut,"Chicago, IL",15-03-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,Card,1,0,March,9.6,15.4,On Time
ORD075,Marco's Pizza,"Miami, FL",16-03-2024,13:00:00,Fast,20,M,Non-Veg,3,High,UPI,0,1,March,7.2,12.8,On Time
ORD076,Domino's,"Los Angeles, CA",17-03-2024,18:30:00,Fast,20,L,Veg,4.5,Low,Cash,1,1,March,10.8,9.2,On Time
ORD077,Papa John's,"Phoenix, AZ",18-03-2024,20:00:00,Average,25,M,Non-Veg,3,High,Wallet,1,0,March,7.2,17.8,On Time
ORD078,Little Caesars,"Atlanta, GA",19-03-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Card,1,0,March,6,14,On Time
ORD079,Pizza Hut,"Dallas, TX",20-03-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,UPI,1,0,March,9.6,15.4,On Time
ORD080,Marco's Pizza,"Seattle, WA",21-03-2024,13:00:00,Fast,20,M,Non-Veg,3.5,High,Cash,0,0,March,8.4,11.6,On Time
ORD081,Domino's,"Denver, CO",22-03-2024,18:30:00,Fast,20,L,Veg,4,Low,Wallet,1,0,March,9.6,10.4,On Time
ORD082,Papa John's,"Boston, MA",23-03-2024,20:15:00,Average,25,S,Vegan,2,High,Card,1,1,March,4.8,20.2,Delayed
ORD083,Little Caesars,"Dallas, TX",24-03-2024,18:30:00,Fast,20,M,Non-Veg,3,High,UPI,1,1,March,7.2,12.8,On Time
ORD084,Pizza Hut,"Los Angeles, CA",25-03-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,Low,Cash,1,0,March,10.8,14.2,On Time
ORD085,Marco's Pizza,"Chicago, IL",26-03-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Medium,Wallet,0,0,March,8.4,11.6,On Time
ORD086,Domino's,"Miami, FL",27-03-2024,18:30:00,Fast,20,L,Veg,4,High,Card,1,0,March,9.6,10.4,On Time
ORD087,Papa John's,"Dallas, TX",28-03-2024,20:00:00,Average,25,M,Non-Veg,3,Low,UPI,1,0,March,7.2,17.8,On Time
ORD088,Little Caesars,"Houston, TX",29-03-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,0,March,6,14,On Time
ORD089,Pizza Hut,"Phoenix, AZ",30-03-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,High,Wallet,1,1,March,10.8,14.2,On Time
ORD090,Marco's Pizza,"Atlanta, GA",31-03-2024,13:00:00,Fast,20,M,Non-Veg,3,Medium,Card,0,1,March,7.2,12.8,On Time
ORD091,Domino's,"Seattle, WA",01-04-2024,18:30:00,Fast,20,L,Veg,4,Low,UPI,1,0,April,9.6,10.4,On Time
ORD092,Papa John's,"Denver, CO",02-04-2024,20:15:00,Average,25,S,Vegan,2,High,Cash,1,0,April,4.8,20.2,Delayed
ORD093,Little Caesars,"Boston, MA",03-04-2024,18:30:00,Fast,20,M,Non-Veg,3.5,Low,Wallet,1,0,April,8.4,11.6,On Time
ORD094,Pizza Hut,"Chicago, IL",04-04-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,Card,1,0,April,9.6,15.4,On Time
ORD095,Marco's Pizza,"Miami, FL",05-04-2024,13:00:00,Fast,20,M,Non-Veg,3,High,UPI,0,0,April,7.2,12.8,On Time
ORD096,Domino's,"Los Angeles, CA",06-04-2024,18:30:00,Fast,20,L,Veg,4.5,High,Card,1,1,April,10.8,9.2,On Time
ORD097,Papa John's,"Dallas, TX",07-04-2024,20:00:00,Average,25,M,Non-Veg,3,Medium,UPI,1,1,April,7.2,17.8,On Time
ORD098,Little Caesars,"Chicago, IL",08-04-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,0,April,6,14,On Time
ORD099,Pizza Hut,"Phoenix, AZ",09-04-2024,19:45:00,Average,25,XL,Cheese Burst,4,High,Wallet,1,0,April,9.6,15.4,On Time
ORD100,Marco's Pizza,"Atlanta, GA",10-04-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Low,Card,0,0,April,8.4,11.6,On Time
ORD101,Domino's,"Seattle, WA",11-04-2024,18:30:00,Fast,20,L,Veg,4.5,Medium,UPI,1,0,April,10.8,9.2,On Time
ORD102,Papa John's,"Denver, CO",12-04-2024,20:15:00,Average,25,S,Vegan,2,High,Cash,1,0,April,4.8,20.2,Delayed
ORD103,Little Caesars,"Boston, MA",13-04-2024,18:30:00,Fast,20,M,Non-Veg,3.5,Low,Wallet,1,1,April,8.4,11.6,On Time
ORD104,Pizza Hut,"Chicago, IL",14-04-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,Card,1,1,April,9.6,15.4,On Time
ORD105,Marco's Pizza,"Miami, FL",15-04-2024,13:00:00,Fast,20,M,Non-Veg,3,High,UPI,0,0,April,7.2,12.8,On Time
ORD106,Domino's,"Los Angeles, CA",16-04-2024,18:30:00,Fast,20,L,Veg,4.5,Low,Cash,1,0,April,10.8,9.2,On Time
ORD107,Papa John's,"Phoenix, AZ",17-04-2024,20:00:00,Average,25,M,Non-Veg,3,High,Wallet,1,0,April,7.2,17.8,On Time
ORD108,Little Caesars,"Atlanta, GA",18-04-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Card,1,0,April,6,14,On Time
ORD109,Pizza Hut,"Dallas, TX",19-04-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,UPI,1,0,April,9.6,15.4,On Time
ORD110,Marco's Pizza,"Seattle, WA",20-04-2024,13:00:00,Fast,20,M,Non-Veg,3.5,High,Cash,0,1,April,8.4,11.6,On Time
ORD111,Domino's,"Denver, CO",21-04-2024,18:30:00,Fast,20,L,Veg,4.5,Low,Wallet,1,1,April,10.8,9.2,On Time
ORD112,Papa John's,"Boston, MA",22-04-2024,20:15:00,Average,25,S,Vegan,2,High,Card,1,0,April,4.8,20.2,Delayed
ORD113,Little Caesars,"Dallas, TX",23-04-2024,18:30:00,Fast,20,M,Non-Veg,3,High,UPI,1,0,April,7.2,12.8,On Time
ORD114,Pizza Hut,"Los Angeles, CA",24-04-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,Low,Cash,1,0,April,10.8,14.2,On Time
ORD115,Marco's Pizza,"Chicago, IL",25-04-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Medium,Wallet,0,0,April,8.4,11.6,On Time
ORD116,Domino's,"Miami, FL",26-04-2024,18:30:00,Fast,20,L,Veg,4,High,Card,1,0,April,9.6,10.4,On Time
ORD117,Papa John's,"Dallas, TX",27-04-2024,20:00:00,Average,25,M,Non-Veg,3,Low,UPI,1,1,April,7.2,17.8,On Time
ORD118,Little Caesars,"Houston, TX",28-04-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,1,April,6,14,On Time
ORD119,Pizza Hut,"Phoenix, AZ",29-04-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,High,Wallet,1,0,April,10.8,14.2,On Time
ORD120,Marco's Pizza,"Atlanta, GA",30-04-2024,13:00:00,Fast,20,M,Non-Veg,3,Medium,Card,0,0,April,7.2,12.8,On Time
ORD121,Domino's,"Seattle, WA",01-05-2024,18:30:00,Fast,20,L,Veg,4.5,Low,UPI,1,0,May,10.8,9.2,On Time
ORD122,Papa John's,"Denver, CO",02-05-2024,20:15:00,Average,25,S,Vegan,2,High,Cash,1,0,May,4.8,20.2,Delayed
ORD123,Little Caesars,"Boston, MA",03-05-2024,18:30:00,Fast,20,M,Non-Veg,3.5,Low,Wallet,1,0,May,8.4,11.6,On Time
ORD124,Pizza Hut,"Chicago, IL",04-05-2024,19:45:00,Average,25,XL,Cheese Burst,4,Medium,Card,1,1,May,9.6,15.4,On Time
ORD125,Marco's Pizza,"Miami, FL",05-05-2024,13:00:00,Fast,20,M,Non-Veg,3,High,UPI,0,1,May,7.2,12.8,On Time
ORD126,Domino's,"New York, NY",01-08-2024,18:00:00,Fast,20,M,Veg,3,Low,Card,1,0,August,7.2,12.8,On Time
ORD127,Papa John's,"Chicago, IL",02-08-2024,19:15:00,Average,30,L,Non-Veg,6,Medium,UPI,1,0,August,14.4,15.6,On Time
ORD128,Pizza Hut,"Los Angeles, CA",03-08-2024,20:30:00,Slow,40,XL,Cheese Burst,8,High,Wallet,1,1,August,19.2,20.8,Delayed
ORD129,Little Caesars,"Houston, TX",04-08-2024,18:45:00,Fast,20,S,Vegan,2.5,Low,Cash,1,1,August,6,14,On Time
ORD130,Marco's Pizza,"Phoenix, AZ",05-08-2024,19:00:00,Slow,50,L,Non-Veg,10,High,Card,1,0,August,24,26,Delayed
ORD131,Domino's,"Miami, FL",06-08-2024,20:00:00,Average,35,M,Veg,5.5,Medium,Wallet,1,0,August,13.2,21.8,Delayed
ORD132,Papa John's,"Denver, CO",07-08-2024,18:30:00,Fast,20,S,Vegan,2,Low,UPI,1,0,August,4.8,15.2,On Time
ORD133,Pizza Hut,"Boston, MA",08-08-2024,19:45:00,Slow,40,XL,Cheese Burst,7.5,High,Cash,1,0,August,18,22,Delayed
ORD134,Little Caesars,"Dallas, TX",09-08-2024,18:00:00,Average,30,M,Non-Veg,4,Medium,Card,1,0,August,9.6,20.4,Delayed
ORD135,Marco's Pizza,"Seattle, WA",10-08-2024,20:15:00,Slow,45,L,Veg,9,High,Wallet,1,1,August,21.6,23.4,Delayed
ORD136,Domino's,"San Jose, CA",11-08-2024,18:00:00,Fast,20,M,Veg,3,Low,UPI,1,1,August,7.2,12.8,On Time
ORD137,Papa John's,"Austin, TX",12-08-2024,19:15:00,Average,30,L,Non-Veg,6,Medium,Cash,1,0,August,14.4,15.6,On Time
ORD138,Pizza Hut,"San Diego, CA",13-08-2024,20:30:00,Slow,40,XL,Cheese Burst,8,High,Card,1,0,August,19.2,20.8,Delayed
ORD139,Little Caesars,"Jacksonville, FL",14-08-2024,18:45:00,Fast,20,S,Vegan,2.5,Low,Wallet,1,0,August,6,14,On Time
ORD140,Marco's Pizza,"Fort Worth, TX",15-08-2024,19:00:00,Slow,50,L,Non-Veg,10,High,UPI,1,0,August,24,26,Delayed
ORD141,Domino's,"Columbus, OH",16-08-2024,20:00:00,Average,35,M,Veg,5.5,Medium,Cash,1,0,August,13.2,21.8,Delayed
ORD142,Papa John's,"Charlotte, NC",17-08-2024,18:30:00,Fast,20,S,Vegan,2,Low,Card,1,1,August,4.8,15.2,On Time
ORD143,Pizza Hut,"Indianapolis, IN",18-08-2024,19:45:00,Slow,40,XL,Cheese Burst,7.5,High,Wallet,1,1,August,18,22,Delayed
ORD144,Little Caesars,"San Francisco, CA",19-08-2024,18:00:00,Average,30,M,Non-Veg,4,Medium,UPI,1,0,August,9.6,20.4,Delayed
ORD145,Marco's Pizza,"Charlotte, NC",20-08-2024,20:15:00,Slow,45,L,Veg,9,High,Cash,1,0,August,21.6,23.4,Delayed
ORD146,Domino's,"Detroit, MI",21-08-2024,18:00:00,Fast,20,M,Veg,3,Low,Card,1,0,August,7.2,12.8,On Time
ORD147,Papa John's,"El Paso, TX",22-08-2024,19:15:00,Average,30,L,Non-Veg,6,Medium,Wallet,1,0,August,14.4,15.6,On Time
ORD148,Pizza Hut,"Memphis, TN",23-08-2024,20:30:00,Slow,40,XL,Cheese Burst,8,High,UPI,1,0,August,19.2,20.8,Delayed
ORD149,Little Caesars,"Baltimore, MD",24-08-2024,18:45:00,Fast,20,S,Vegan,2.5,Low,Cash,1,1,August,6,14,On Time
ORD150,Marco's Pizza,"Boston, MA",25-08-2024,19:00:00,Slow,50,L,Non-Veg,10,High,Card,1,1,August,24,26,Delayed
ORD151,Domino's,"New York, NY",01-08-2024,18:00:00,Average,30,L,Veg,5.5,High,Domino's Cash,1,0,August,13.2,16.8,On Time
ORD152,Pizza Hut,"Los Angeles, CA",02-08-2024,19:15:00,Average,30,XL,Cheese Burst,6,Medium,Card,1,0,August,14.4,15.6,On Time
ORD153,Papa John's,"Chicago, IL",03-08-2024,20:00:00,Average,35,M,Non-Veg,7.2,Low,UPI,1,1,August,17.28,17.72,On Time
ORD154,Little Caesars,"Houston, TX",04-08-2024,17:45:00,Fast,20,S,Vegan,3,Low,Wallet,0,1,August,7.2,12.8,On Time
ORD155,Marco's Pizza,"Phoenix, AZ",05-08-2024,13:30:00,Average,30,M,Non-Veg,5,High,Cash,0,0,August,12,18,On Time
ORD156,Domino's,"Miami, FL",06-08-2024,18:20:00,Average,30,L,Veg,6.5,Medium,Domino's Cash,1,0,August,15.6,14.4,On Time
ORD157,Papa John's,"Denver, CO",07-08-2024,20:10:00,Average,35,S,Vegan,4,High,Card,1,0,August,9.6,25.4,Delayed
ORD158,Little Caesars,"Boston, MA",08-08-2024,18:00:00,Average,25,M,Non-Veg,3.5,Low,UPI,1,0,August,8.4,16.6,On Time
ORD159,Pizza Hut,"Dallas, TX",09-08-2024,19:30:00,Average,30,XL,Cheese Burst,6,Medium,Wallet,1,0,August,14.4,15.6,On Time
ORD160,Marco's Pizza,"Seattle, WA",10-08-2024,12:45:00,Average,30,M,Non-Veg,5.5,High,Cash,0,1,August,13.2,16.8,On Time
ORD161,Domino's,"Denver, CO",11-08-2024,18:15:00,Average,30,L,Veg,6,Medium,Domino's Cash,1,1,August,14.4,15.6,On Time
ORD162,Papa John's,"Boston, MA",12-08-2024,20:00:00,Average,30,S,Vegan,4.5,Low,Card,1,0,August,10.8,19.2,On Time
ORD163,Little Caesars,"Dallas, TX",13-08-2024,18:10:00,Average,25,M,Non-Veg,3,High,UPI,1,0,August,7.2,17.8,On Time
ORD164,Pizza Hut,"Los Angeles, CA",14-08-2024,19:20:00,Average,30,XL,Cheese Burst,6.5,Medium,Wallet,1,0,August,15.6,14.4,On Time
ORD165,Marco's Pizza,"Chicago, IL",15-08-2024,13:15:00,Average,30,M,Non-Veg,5,High,Cash,0,0,August,12,18,On Time
ORD166,Domino's,"Miami, FL",16-08-2024,18:25:00,Average,30,L,Veg,6,Medium,Domino's Cash,1,0,August,14.4,15.6,On Time
ORD167,Papa John's,"Denver, CO",17-08-2024,20:05:00,Average,30,S,Vegan,4,Low,Card,1,1,August,9.6,20.4,Delayed
ORD168,Little Caesars,"Boston, MA",18-08-2024,18:00:00,Average,25,M,Non-Veg,3.5,High,UPI,1,1,August,8.4,16.6,On Time
ORD169,Pizza Hut,"Dallas, TX",19-08-2024,19:30:00,Average,30,XL,Cheese Burst,6,Medium,Wallet,1,0,August,14.4,15.6,On Time
ORD170,Marco's Pizza,"Seattle, WA",20-08-2024,13:00:00,Average,30,M,Non-Veg,5.5,Low,Cash,0,0,August,13.2,16.8,On Time
ORD171,Domino's,"Denver, CO",21-08-2024,18:15:00,Average,30,L,Veg,6,High,Domino's Cash,1,0,August,14.4,15.6,On Time
ORD172,Papa John's,"Boston, MA",22-08-2024,20:00:00,Average,30,S,Vegan,4.5,Medium,Card,1,0,August,10.8,19.2,On Time
ORD173,Little Caesars,"Dallas, TX",23-08-2024,18:10:00,Average,25,M,Non-Veg,3,Low,UPI,1,0,August,7.2,17.8,On Time
ORD174,Pizza Hut,"Los Angeles, CA",24-08-2024,19:20:00,Average,30,XL,Cheese Burst,6.5,High,Wallet,1,1,August,15.6,14.4,On Time
ORD175,Marco's Pizza,"Atlanta, GA",20-06-2024,13:00:00,Fast,20,M,Non-Veg,3,Medium,Card,0,0,June,7.2,12.8,On Time
ORD176,Domino's,"Denver, CO",21-06-2024,18:30:00,Fast,20,L,Veg,4.5,Low,UPI,1,0,June,10.8,9.2,On Time
ORD177,Papa John's,"Boston, MA",22-06-2024,20:15:00,Average,25,S,Vegan,2,High,Cash,1,1,June,4.8,20.2,Delayed
ORD178,Little Caesars,"Dallas, TX",23-06-2024,18:30:00,Fast,20,M,Non-Veg,3,High,UPI,1,1,June,7.2,12.8,On Time
ORD179,Pizza Hut,"Los Angeles, CA",24-06-2024,19:45:00,Average,25,XL,Cheese Burst,4.5,Low,Cash,1,0,June,10.8,14.2,On Time
ORD180,Marco's Pizza,"Chicago, IL",25-06-2024,13:00:00,Fast,20,M,Non-Veg,3.5,Medium,Wallet,0,0,June,8.4,11.6,On Time
ORD181,Domino's,"Miami, FL",26-06-2024,18:30:00,Average,25,L,Veg,4.5,High,Card,1,0,June,10.8,14.2,On Time
ORD182,Papa John's,"Phoenix, AZ",27-06-2024,20:00:00,Average,25,M,Non-Veg,3,Medium,UPI,1,0,June,7.2,17.8,On Time
ORD183,Little Caesars,"Atlanta, GA",28-06-2024,19:15:00,Fast,20,S,Vegan,2.5,Low,Cash,1,0,June,6,14,On Time
